Episode: 0 Final Score: -5
3.0888 0 0 
2.8787 11.9329 11.9329 jr
2.9806 12.5442 12.5442 r
3.0897 13.199 13.199 r
3.1967 13.8407 13.8407 r
3.2977 14.447 14.447 r
3.3984 15.0512 15.0512 r
3.499 15.6545 15.6545 r
3.6061 16.2971 16.2971 r
3.7077 16.9067 16.9067 r
3.8158 17.5554 17.5554 r
3.9217 18.1909 18.1909 r
4.0221 18.7933 18.7933 r
4.1293 19.4362 19.4362 r
4.2302 20.0419 20.0419 r
4.3322 20.6539 20.6539 r
4.4388 21.2931 21.2931 r
4.5394 21.8968 21.8968 r
4.6395 22.4974 22.4974 r
4.7408 23.1055 23.1055 r
4.8414 23.709 23.709 r
4.943 24.3188 24.3188 r
5.0504 24.9627 24.9627 r
5.1538 24.9627 24.9627 n
5.2568 24.9627 24.9627 n
5.3648 24.9627 24.9627 n
5.4714 24.9627 24.9627 n
5.5766 24.9627 24.9627 n
5.6832 24.9627 24.9627 n
5.7897 24.9627 24.9627 n
5.891 24.9627 24.9627 n
5.9922 24.9641 24.9641 r
6.0942 25.0812 25.0812 r
6.1981 25.244 25.244 n
6.3054 25.244 25.244 n
6.4058 25.244 25.244 n
6.512 25.244 25.244 n
6.6161 25.244 25.244 n
6.7225 25.244 25.244 n
6.8258 25.244 25.244 n
6.9269 25.244 25.244 n
7.0361 25.2458 25.2458 r
7.1449 25.3219 25.3219 n
7.2529 25.3219 25.3219 n
7.3586 25.3219 25.3219 n
7.4647 25.3219 25.3219 n
7.5713 25.3219 25.3219 n
7.6768 25.3219 25.3219 n
7.7843 25.3219 25.3219 n
7.8867 25.3219 25.3219 n
7.9947 25.3219 25.3219 n
8.0959 25.3219 25.3219 n
8.2071 25.3219 25.3219 n
8.3125 25.3219 25.3219 n
8.4193 25.3219 25.3219 n
8.5238 25.3219 25.3219 n
8.6296 25.3219 25.3219 n
8.7352 25.3219 25.3219 n
8.8386 25.3219 25.3219 n
8.9387 25.3219 25.3219 n
9.0459 25.3219 25.3219 n
9.1535 25.3219 25.3219 n
9.2567 25.3219 25.3219 n

Episode: 5 Final Score: 0
0 0 0 
0.3533 2 2 r
0.4553 2.6116 2.6116 r
0.5595 3.2372 3.2372 r
0.6664 3.8784 3.8784 r
0.7684 4.4903 4.4903 r
0.8715 5.1088 5.1088 r
0.9786 5.7518 5.7518 r
1.0813 6.3675 6.3675 r
1.1826 6.9759 6.9759 r
1.2839 7.5834 7.5834 r
1.3917 8.23 8.23 r
1.4964 8.8585 8.8585 r
1.5992 9.4753 9.4753 r
1.7011 10.0866 10.0866 jr
1.8043 10.7059 10.7059 r
1.9114 11.3485 11.3485 r
2.0156 11.9736 11.9736 r
2.1173 12.5836 12.5836 r
2.2237 13.2224 13.2224 r
2.3268 13.8405 13.8405 r
2.4337 14.4824 14.4824 r
2.54 15.1198 15.1198 r
2.6405 15.7228 15.7228 r
2.7411 16.3269 16.3269 jr
2.8435 16.9407 16.9407 r
2.946 17.5557 17.5557 r
3.0481 18.1686 18.1686 r
3.164 18.8638 18.8638 r
3.2658 19.4748 19.4748 r
3.3683 19.8423 19.8423 n
3.4741 19.8423 19.8423 n
3.5742 19.8586 19.8586 r
3.68 20.1644 20.1644 r
3.7845 20.6646 20.6646 r
3.8909 21.3006 21.3006 r
3.991 21.901 21.901 r
4.0924 22.5096 22.5096 r
4.1968 23.1358 23.1358 r
4.3053 23.7867 23.7867 r
4.4094 24.4114 24.4114 r
4.5134 25.0354 25.0354 r
4.6205 25.4658 25.4658 n
4.7252 25.4658 25.4658 l
4.8266 25.3662 25.3662 l
4.9269 25.0854 25.0854 l
5.0305 24.929 24.929 n
5.1306 24.929 24.929 n
5.237 24.929 24.929 n
5.3381 24.929 24.929 n
5.4384 24.929 24.929 n
5.544 24.929 24.929 n
5.6448 24.929 24.929 n
5.7465 24.929 24.929 n
5.8468 24.929 24.929 n
5.951 24.929 24.929 n
6.058 24.929 24.929 n
6.1643 24.929 24.929 n
6.2653 24.929 24.929 n
6.372 24.929 24.929 n
6.4762 24.9375 24.9375 r
6.5764 25.0826 25.0826 r
6.6786 25.2078 25.2078 n
6.7829 25.2078 25.2078 n
6.8907 25.2078 25.2078 n
6.9908 25.2078 25.2078 n
7.0973 25.2078 25.2078 n
7.2013 25.3128 25.3128 r
7.311 25.3287 25.3287 n
7.4136 25.3287 25.3287 n
7.5136 25.3287 25.3287 n
7.6207 25.3287 25.3287 n
7.7218 25.3287 25.3287 n
7.8261 25.3287 25.3287 n
7.927 25.3287 25.3287 n
8.0338 25.3287 25.3287 n
8.1378 25.3287 25.3287 n
8.2414 25.3287 25.3287 n
8.3478 25.3287 25.3287 n
8.4551 25.3287 25.3287 n
8.5614 25.3287 25.3287 n
8.6616 25.3287 25.3287 n
8.7652 25.3287 25.3287 n
8.8712 25.3287 25.3287 n
8.9787 25.3287 25.3287 n
9.0855 25.3287 25.3287 n

Episode: 6 Final Score: 0
9.1653 0 0 
9.2687 0 0 n
9.3721 0 0 n
9.4759 0 0 n
9.5837 0 0 n
9.6886 0 0 n
9.7914 0 0 n
9.8927 0 0 n
9.9962 0 0 n
10.1006 0 0 n
10.2017 0 0 n
10.3044 0 0 n
10.4085 0 0 n
10.5108 0 0 n
10.6156 0 0 n
10.7212 0 0 n
10.8226 0 0 n
10.93 0 0 n
11.0325 0 0 n
11.1357 0 0 n
11.2372 0 0 n
11.3401 0 0 n
11.4413 0 0 n
11.543 0 0 n
11.6461 0 0 n
11.7492 0 0 n
11.8538 0.022 0.022 r
11.9561 0.2095 0.2095 r
12.0613 0.5966 0.5966 r
12.1658 1.1711 1.1711 r
12.271 1.8023 1.8023 r
12.3784 2.4467 2.4467 r
12.4802 3.0573 3.0573 r
12.5842 3.6811 3.6811 r
12.687 4.2983 4.2983 r
12.7873 4.8997 4.8997 r
12.889 5.51 5.51 r
12.9955 6.1494 6.1494 r
13.0963 6.7542 6.7542 r
13.2005 7.3792 7.3792 r
13.3067 8.0162 8.0162 r
13.4134 8.6568 8.6568 r
13.5189 9.2895 9.2895 r
13.6201 9.8968 9.8968 r
13.7203 10.4978 10.4978 r
13.826 11.1323 11.1323 r
13.928 11.7441 11.7441 r
14.0312 12.3633 12.3633 jr
14.1339 12.9798 12.9798 r
14.2403 13.6182 13.6182 r
14.3407 14.2204 14.2204 r
14.4436 14.8377 14.8377 r
14.5458 15.4507 15.4507 r
14.6524 16.0908 16.0908 r
14.758 16.7243 16.7243 r
14.8627 17.3523 17.3523 r
14.9657 17.9702 17.9702 r
15.068 18.5841 18.5841 r
15.1687 19.1884 19.1884 jr
15.2718 19.8068 19.8068 r
15.3736 20.4176 20.4176 r
15.4747 21.0243 21.0243 r
15.577 21.6383 21.6383 r
15.6813 22.2637 22.2637 r
15.7824 22.8708 22.8708 r
15.8869 23.4976 23.4976 r
15.9897 24.1143 24.1143 r
16.0898 24.475 24.475 n
16.2029 24.475 24.475 n
16.3074 24.475 24.475 n
16.4089 24.475 24.475 n
16.5104 24.509 24.509 r
16.6167 24.6393 24.6393 n
16.7207 24.6393 24.6393 n
16.8275 24.6393 24.6393 n
16.932 24.6393 24.6393 n
17.034 24.7255 24.7255 r
17.1354 24.8423 24.8423 n
17.2405 24.8423 24.8423 n
17.3439 24.8423 24.8423 n
17.4449 24.9034 24.9034 r
17.5508 25.0999 25.0999 n
17.6555 25.0999 25.0999 n
17.7601 25.0999 25.0999 n
17.8648 25.0999 25.0999 n
17.9701 25.0999 25.0999 n
18.0756 25.0999 25.0999 n
18.178 25.0999 25.0999 n
18.2786 25.0999 25.0999 n
18.3827 25.0999 25.0999 n
18.4896 25.0999 25.0999 n
18.5936 25.167 25.167 r
18.6947 25.2084 25.2084 n
18.7998 25.2084 25.2084 n
18.9032 25.2084 25.2084 n
19.0064 25.2084 25.2084 n
19.1106 25.2084 25.2084 n
19.218 25.2084 25.2084 n
19.3246 25.2084 25.2084 n
19.428 25.2084 25.2084 n
19.5334 25.2084 25.2084 n
19.6387 25.2084 25.2084 n
19.7455 25.2129 25.2129 r
19.8457 25.2835 25.2835 n
19.9493 25.2835 25.2835 n
20.0544 25.2835 25.2835 n
20.1598 25.2835 25.2835 n
20.2599 25.2835 25.2835 n
20.3634 25.2835 25.2835 n
20.468 25.2835 25.2835 n
20.5695 25.3166 25.3166 r
20.6719 25.3464 25.3464 n
20.7778 25.3464 25.3464 n
20.8827 25.3464 25.3464 n
20.9873 25.3464 25.3464 n
21.0932 25.3464 25.3464 n
21.1996 25.3464 25.3464 n
21.3031 25.3464 25.3464 n
21.4066 25.3464 25.3464 n
21.5105 25.3464 25.3464 n
21.6174 25.3464 25.3464 n
21.7246 25.3464 25.3464 n
21.83 25.3464 25.3464 n
21.935 25.3464 25.3464 n
22.0395 25.3464 25.3464 n
22.1436 25.3464 25.3464 n
22.2497 25.3464 25.3464 n
22.3556 25.3464 25.3464 n
22.4628 25.3464 25.3464 n
22.5684 25.3464 25.3464 n
22.6735 25.3464 25.3464 n

Episode: 7 Final Score: 0
0 0 0 
0.3533 0 0 n
0.4615 0 0 n
0.5632 0 0 n
0.6684 0 0 n
0.7747 0 0 n
0.883 0 0 n
0.9979 0 0 n
1.103 0 0 n
1.2093 0.0394 0.0394 r
1.3152 0.2652 0.2652 r
1.4252 0.7139 0.7139 r
1.5269 1.3004 1.3004 r
1.6444 2.0052 2.0052 r
1.7477 2.625 2.625 r
1.8576 3.2843 3.2843 r
1.9612 3.9059 3.9059 r
2.0767 4.5993 4.5993 r
2.182 5.2309 5.2309 r
2.2908 5.8835 5.8835 r
2.3971 6.5216 6.5216 r
2.4974 7.1235 7.1235 r
2.6018 7.7501 7.7501 r
2.7056 8.3726 8.3726 r
2.8138 9.022 9.022 r
2.9205 9.6617 9.6617 r
3.0255 10.2921 10.2921 r
3.1331 10.9378 10.9378 jr
3.2353 11.5508 11.5508 r
3.3442 12.2041 12.2041 r
3.4515 12.8478 12.8478 r
3.5538 13.462 13.462 r
3.6585 14.0901 14.0901 r
3.7643 14.725 14.725 r
3.867 15.3409 15.3409 r
3.9678 15.9458 15.9458 r
4.0736 16.5803 16.5803 r
4.1788 17.2118 17.2118 r
4.281 17.8248 17.8248 r
4.3813 18.4266 18.4266 jr
4.4899 19.0787 19.0787 r
4.5945 19.7062 19.7062 r
4.7075 20.3841 20.3841 r
4.8118 21.0096 21.0096 r
4.9133 21.6188 21.6188 r
5.018 22.2469 22.2469 r
5.1219 22.8702 22.8702 r
5.2231 23.4775 23.4775 r
5.3317 24.129 24.129 r
5.4412 24.1886 24.1886 n
5.5436 24.1886 24.1886 n
5.6456 24.1886 24.1886 n
5.7536 24.1886 24.1886 n
5.856 24.1886 24.1886 n
5.9571 24.1886 24.1886 n
6.0626 24.1886 24.1886 n
